nombre,valor a asignar,descripcion,nota
LenX,mm,ANCHO,
LenY,mm,PROFUNDIDAD,
LenZ,mm,ALTO,
c01espestr,mm,ESPESOR ESTRUCTURA,
c02esppuerta,mm,ESPESOR PUERTA,
c24entrepano,Si (0) / No (1),,
c03espfondo,mm,ESPESOR FONDO,
c25tipopuerta,Ninguna (0) / PUERTA LISA (1) / PUERTA ITALIANA (2) / PUERTA VIDRIO (3) / PUERTA VIDRIO-MADERA (4) / PUERTA U�ERO (5) / AVENTO S LISA (6) / AVENTO S ITALIANA (7) / AVENTO S VIDRIO (8) / AVENTO S VIDRIO-MADERA (9) / AVENTO D LISA (10) / AVENTO D ITALIANA (11) / AVENTO D VIDRIO (12) / AVENTO D VIDRIO-MADERA (13) (8) / 4 CAJONES (9),DISE�O DE PUERTA,
f04seppuertas,mm,SEPARACION ENTRE PUERTAS,
f11margsupcaj,mm,MARGEN SUPERIOR,
f12marginfcaj,mm,MARGEN INFERIOR,
f13margizqcaj,mm,MARGEN IZQUIERDO,
f14margdercaj,mm,MARGEN DERECHO,
estructura>e22tipotecho,Ninguno (1) / Amarre frontal (2) / Amarre posterior (3) / Amarre frontal + posterior (4) / Techo completo (5),TIPO DE TECHO,
estructura>e23ancamtecho,mm,ANCHO AMARRES,
puerta>e07cantpuerta,Puerta simple - IZQ (1) / Puerta simple - DER (2) / Puerta doble (3) / Puerta - 3 (4) / Puerta - 4 (5) / Puerta - 5 (6) / Puerta - 6 (7) / Puerta - 7 (8) / Puerta - 8 (9) / Puerta - 9 (10) / Puerta - 10 (11),CANTIDAD DE PUERTAS,Solo con puerta normal (c25tipopuerta 1-5). Misma lista que el gabinete.
puerta>e07cantpuerta,Puerta - 1 (1) / Puerta - 2 (2) / Puerta - 3 (3) / Puerta - 4 (4) / Puerta - 5 (5) / Puerta - 6 (6) / Puerta - 7 (7) / Puerta - 8 (8) / Puerta - 9 (9) / Puerta - 10 (10),CANTIDAD DE PUERTAS,Mismo atributo con otra lista cuando c25tipopuerta es Avento (6-13).
puerta>e08cantpuvert,Puerta simple (1) / Puerta doble - individual (2) / Puerta doble - unidas (3),CANT. PUERTAS - VERTICAL,Solo Avento D (c25tipopuerta 10-13).
puerta>e09tipapertura,Apertura superior (1) / Apertura inferior (2),TIPO DE APERTURA,Solo Avento S (c25tipopuerta 6-9).
puerta>f01posextintpu,Puerta/Caj�n exterior (1) / Puerta/Caj�n interior (2),POSICION DE PUERTAS,
puerta>f21tipotirador,Sin Tirador (1) / Tirador secc. circular (2) / Tirador secc. cuadrada (3) / Tirador arco (4) / Tirador bot�n cuadrado (5) / Tirador bot�n circular (6) / Tirador CLE (7),TIPO DE TIRADOR,
puerta>f22postirador,Arriba - Izquierda (1) / Arriba - Centro (2) / Arriba - Derecha (3) / Centro - Izquierda (4) / Centro - Centro (5) / Centro - Derecha (6) / Abajo - Izquierda (7) / Abajo - Centro (8) / Abajo - Derecha (9),POSICION DE TIRADOR,
puerta>f23orienttirador,Tirador horizontal (1) / Tirador vertical (2),ORIENTACION DE TIRADOR,
divisor>f01cantdiv,1 (1) / 2 (2) / 3 (3) / 4 (4) / 5 (5) / 6 (6),CANTIDAD DE DIVISORES,
divisor>f02tipomedida,Separaciones iguales (1) / Personalizado (2),Tipo de medida,
divisor>f03espacio1,mm,ESPACIO 1 (INFERIOR),
divisor>f03espacio2,mm,ESPACIO 2 ,
divisor>f03espacio3,mm,ESPACIO 3,
divisor>f03espacio4,mm,ESPACIO 4,
divisor>f03espacio5,mm,ESPACIO 5,
divisor>f03espacio6,mm,ESPACIO 6,
divisor>f03espacio7,mm,ESPACIO 7,
divisor>g01margenf1,mm,MARGEN FRONTAL 1,
divisor>g01margenf2,mm,MARGEN FRONTAL 2,
divisor>g01margenf3,mm,MARGEN FRONTAL 3,
divisor>g01margenf4,mm,MARGEN FRONTAL 4,
divisor>g01margenf5,mm,MARGEN FRONTAL 5,
divisor>g01margenf6,mm,MARGEN FRONTAL 6,
