nombre,valor a asignar,descripcion,nota
LenX,mm,ANCHO,
LenY,mm,PROFUNDIDAD,
LenZ,mm,ALTO,
a02zocalo,mm,ALTO ZOCALO,ALTO DEL MUEBLE INCLUYE EL ALTO ZOCALO
c01espestr,mm,ESPESOR ESTRUCTURA,
c02esppuerta,mm,ESPESOR PUERTA,
c03espfondo,mm,ESPESOR FONDO,
c24entrepano,Si (0) / No (1),,
EstiloPuerta,Ninguna (0) / PUERTA LISA (1) / PUERTA ITALIANA (2) / PUERTA VIDRIO (3) / PUERTA VIDRIO-MADERA (4) / PUERTA UÑERO (5) / N CAJONES (6) / 2 CAJONES (7) / 3 CAJONES (8) / 4 CAJONES (9),DISEÑO DE PUERTA,
f04seppuertas,mm,SEPARACION ENTRE PUERTAS,
f11margsupcaj,mm,MARGEN SUPERIOR,
f12marginfcaj,mm,MARGEN INFERIOR,
f13margizqcaj,mm,MARGEN IZQUIERDO,
f14margdercaj,mm,MARGEN DERECHO,
estructura>e22tipotecho,Ninguno (1) / Amarre frontal (2) / Amarre posterior (3) / Amarre frontal + posterior (4) / Techo completo (5),TIPO DE TECHO,
estructura>e23ancamtecho,mm,ANCHO AMARRES,
puerta>f01posextintpu,Puerta/Cajón exterior (1) / Puerta/Cajón interior (2),POSICION DE PUERTAS,
puerta>f21tipotirador,Sin Tirador (1) / Tirador secc. circular (2) / Tirador secc. cuadrada (3) / Tirador arco (4) / Tirador botón cuadrado (5) / Tirador botón circular (6) / Tirador CLE (7),TIPO DE TIRADOR,
puerta>f22postirador,Arriba - Izquierda (1) / Arriba - Centro (2) / Arriba - Derecha (3) / Centro - Izquierda (4) / Centro - Centro (5) / Centro - Derecha (6) / Abajo - Izquierda (7) / Abajo - Centro (8) / Abajo - Derecha (9),POSICION DE TIRADOR,
puerta>f23orienttirador,Tirador horizontal (1) / Tirador vertical (2),ORIENTACION DE TIRADOR,
divisor>e31_marg1,mm,MARGEN FRONTAL  ,
divisor>e32_marg2,mm,MARGEN POSTERIOR  ,
divisor>e33_marg3,mm,MARGEN IZQUIERDO  ,
divisor>e34_marg4,mm,MARGEN DERECHO  ,
divisor>f01cantdiv,1 (1) / 2 (2) / 3 (3) / 4 (4) / 5 (5) / 6 (6),CANTIDAD DE DIVISORES,
divisor>f02tipomedida,Separaciones iguales (1) / Personalizado (2),Tipo de medida,
divisor>f03espacio1,mm,ESPACIO 1 (INFERIOR),
divisor>f03espacio2,mm,ESPACIO 2 ,
divisor>f03espacio3,mm,ESPACIO 3,
divisor>f03espacio4,mm,ESPACIO 4,
divisor>f03espacio5,mm,ESPACIO 5,
divisor>f03espacio6,mm,ESPACIO 6,
divisor>f03espacio7,mm,ESPACIO 7,
