nombre,valor a asignar,descripcion,nota
LenX,mm,ANCHO,
LenY,mm,PROFUNDIDAD,
LenZ,mm,ALTO,
a02zocalo,mm,ALTO ZOCALO,ALTO DEL MUEBLE INCLUYE EL ALTO ZOCALO
b03tipocajon,Tandem (1) / Antaro (2),ESTILO CAJONES,
b11altocaj1,mm,ALTO CAJON 1 (SUPERIOR),"solo admite mm, pero dentro de la interfaz el campo permitira estas tres opciones CH  / G  / Personalizado. Donde  (CH: 190mm G:383mm)"
b12altocaj2,mm,ALTO CAJON 2,
b13altocaj3,mm,ALTO CAJON 3,
b14altocaj4,mm,ALTO CAJON 4 (INFERIOR),Se asigna el restante con base a las alturas anteriores
c01espestr,mm,ESPESOR ESTRUCTURA,
c02esppuerta,mm,ESPESOR PUERTA,
c03espfondo,mm,ESPESOR FONDO,
c24entrepano,Si (0) / No (1),,
EstiloPuerta,Ninguna (0) / PUERTA LISA (1) / PUERTA ITALIANA (2) / PUERTA VIDRIO (3) / PUERTA VIDRIO-MADERA (4) / PUERTA UÑERO (5) / N CAJONES (6) / 2 CAJONES (7) / 3 CAJONES (8) / 4 CAJONES (9),DISEÑO DE PUERTA,
f02sepcajtirad,mm,SEPARACION ENTRE CAJONES,
f04seppuertas,mm,SEPARACION ENTRE PUERTAS,
f11margsupcaj,mm,MARGEN SUPERIOR,
f12marginfcaj,mm,MARGEN INFERIOR,
f13margizqcaj,mm,MARGEN IZQUIERDO,
f14margdercaj,mm,MARGEN DERECHO,
estructura>e22tipotecho,Ninguno (1) / Amarre frontal (2) / Amarre posterior (3) / Amarre frontal + posterior (4) / Techo completo (5),TIPO DE TECHO,
estructura>e23ancamtecho,mm,ANCHO AMARRES,
puerta>e07cantpuerta,Puerta simple - IZQ (1) / Puerta simple - DER (2) / Puerta doble (3) / Puerta - 3 (4) / Puerta - 4 (5) / Puerta - 5 (6) / Puerta - 6 (7) / Puerta - 7 (8) / Puerta - 8 (9) / Puerta - 9 (10) / Puerta - 10 (11),CANTIDAD DE PUERTAS,
puerta>f01posextintpu,Puerta/Cajón exterior (1) / Puerta/Cajón interior (2),POSICION DE PUERTAS,
puerta>f21tipotirador,Sin Tirador (1) / Tirador secc. circular (2) / Tirador secc. cuadrada (3) / Tirador arco (4) / Tirador botón cuadrado (5) / Tirador botón circular (6) / Tirador CLE (7),TIPO DE TIRADOR,
puerta>f22postirador,Arriba - Izquierda (1) / Arriba - Centro (2) / Arriba - Derecha (3) / Centro - Izquierda (4) / Centro - Centro (5) / Centro - Derecha (6) / Abajo - Izquierda (7) / Abajo - Centro (8) / Abajo - Derecha (9),POSICION DE TIRADOR,
puerta>f23orienttirador,Tirador horizontal (1) / Tirador vertical (2),ORIENTACION DE TIRADOR,
divisor>f01cantdiv,1 (1) / 2 (2) / 3 (3) / 4 (4) / 5 (5) / 6 (6),CANTIDAD DE DIVISORES,
divisor>f02tipomedida,Separaciones iguales (1) / Personalizado (2),Tipo de medida,
divisor>f03espacio1,mm,ESPACIO 1 (INFERIOR),
divisor>f03espacio2,mm,ESPACIO 2 ,
divisor>f03espacio3,mm,ESPACIO 3,
divisor>f03espacio4,mm,ESPACIO 4,
divisor>f03espacio5,mm,ESPACIO 5,
divisor>f03espacio6,mm,ESPACIO 6,
divisor>f03espacio7,mm,ESPACIO 7,
divisor>g01margenf1,mm,MARGEN FRONTAL 1,
divisor>g01margenf2,mm,MARGEN FRONTAL 2,
divisor>g01margenf3,mm,MARGEN FRONTAL 3,
divisor>g01margenf4,mm,MARGEN FRONTAL 4,
divisor>g01margenf5,mm,MARGEN FRONTAL 5,
divisor>g01margenf6,mm,MARGEN FRONTAL 6,
cajon>a21cantcajon,1 (1) / 2 (2) / 3 (3) / 4 (4) / 5 (5) / 6 (6),CANTIDAD DE CAJONES,SOLO APLICA CUANDO SE ELIGE N CAJONES (6) EN EstiloPuerta
cajon>c05espestrpe,mm,ESPESOR ESTRUCTURA CAJONES,
cajon>c06esppuertape,mm,ESPESOR PUERTA CAJONES,
cajon>c06esppuertape,mm,ESPESOR FONDO CAJONES,
cajon>n02corredpers,cm,CORREDERA CAJON,
